date,primemover_id,cycle_count,nett_cycle_time_avg,travel_loaded_avg,stopped_loaded_avg,dumping_avg,travel_empty_avg,stopped_empty_avg,loading_avg
2022-05-23,7008,6,73.15,3.85,13.99,13.48,0.23,41.34,0.26
2022-05-24,7008,19,65.61,18.72,5.99,3.88,16.14,12.39,8.5
2022-05-25,7008,19,58.77,19.1,5.58,3.07,17.38,5.64,8.0
2022-05-26,7008,16,69.07,20.04,6.84,2.42,13.05,16.5,10.23
2022-05-27,7008,14,96.07,21.74,5.85,2.5,16.27,10.7,39.0
2022-05-28,7008,20,62.2,17.98,10.17,2.42,15.85,6.29,9.51
2022-05-29,7008,15,82.34,26.53,15.74,2.41,15.81,11.53,10.32
2022-05-30,7008,16,75.8,28.46,13.13,2.37,17.25,5.99,8.59
2022-05-31,7008,1,55.52,18.72,6.14,2.2,21.53,2.19,4.73
2022-06-04,7007,1,2334.43,19.32,50.55,4.19,0.87,2250.18,9.35
2022-06-04,7008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,7008,9,74.64,0.0,22.21,2.87,0.0,49.55,0.0
2022-06-06,7007,12,67.21,3.78,0.42,2.38,28.38,20.06,12.19
2022-06-07,7008,21,56.06,0.0,21.91,4.91,0.0,29.24,0.0
2022-06-07,7007,18,68.14,14.43,5.22,2.75,24.36,12.29,9.09
2022-06-08,7007,17,72.59,8.38,3.56,7.43,34.14,10.45,8.63
2022-06-08,7008,24,46.98,0.0,17.41,1.97,0.0,27.6,0.0
2022-06-09,7008,14,81.9,0.0,16.64,2.27,0.0,62.99,0.0
2022-06-09,7007,9,144.99,13.84,67.14,2.57,32.02,17.57,11.86
2022-06-10,7007,10,100.19,11.69,4.04,2.81,26.52,45.35,9.78
2022-06-10,7008,8,97.41,22.66,5.97,10.4,16.04,30.4,11.94
2022-06-11,7007,15,84.67,21.06,13.29,7.76,22.69,11.48,8.39
2022-06-11,7008,17,68.99,19.36,5.18,8.42,17.24,11.34,7.46
2022-06-12,7008,11,121.11,20.02,12.36,2.44,29.74,44.79,11.75
2022-06-12,7007,13,87.28,2.41,5.26,2.49,31.49,32.55,13.08
2022-06-13,7008,10,115.37,29.98,38.43,5.39,18.14,13.88,9.56
2022-06-13,7007,13,98.84,8.18,25.01,2.64,34.3,18.24,10.47
2022-06-14,7008,7,74.22,16.18,9.51,2.94,20.07,30.23,18.81
2022-06-14,7007,11,135.34,29.45,22.12,8.8,30.36,33.23,11.38
2022-06-15,7007,6,100.51,19.84,24.45,5.55,14.23,32.07,6.57
2022-10-30,7007,1,663.68,0.0,634.92,2.43,20.51,4.63,1.2
2022-11-01,7007,2,285.31,10.44,7.22,2.66,55.97,175.75,33.28
2022-11-02,7007,10,116.91,9.81,4.69,48.62,27.28,9.3,17.2
2022-11-03,7007,2,1776.94,19.48,11.34,5.91,22.9,1701.22,16.07
2022-11-04,7008,1,2218.02,3.57,2160.92,2.75,23.1,21.96,5.74
2022-11-05,7008,2,40.61,10.63,11.82,1.28,12.02,4.44,0.42
2022-11-06,7007,13,87.21,23.31,15.28,3.73,15.68,18.86,10.36
2022-11-06,7008,18,61.67,13.9,17.22,2.42,17.17,7.97,2.99
2022-11-07,7008,9,252.91,15.72,40.27,2.49,17.05,174.35,3.02
2022-11-07,7007,13,160.06,19.41,2.33,5.34,16.6,107.62,8.75
2022-11-08,7008,3,554.04,27.26,442.61,18.0,16.31,49.09,0.76
2022-11-09,7007,7,188.91,17.9,63.52,54.86,12.81,32.33,7.49
2022-11-09,7008,2,468.1,24.52,380.25,13.98,16.55,26.43,6.38
2022-11-10,7007,3,369.28,33.58,248.41,50.42,15.28,2.54,19.06
2022-11-10,7008,2,640.78,42.18,83.42,7.48,19.06,478.02,10.6
2022-11-11,7007,3,495.93,20.12,0.0,3.71,14.8,447.3,10.01
2022-11-11,7008,8,84.31,18.4,0.34,9.45,16.01,27.52,12.59
2022-11-12,7007,12,96.87,22.7,5.4,11.36,18.28,27.17,11.95
2022-11-12,7008,5,214.72,22.16,12.22,3.84,18.55,144.04,13.91
2022-11-13,7007,2,4036.71,20.6,0.0,3.45,18.52,3956.98,37.16
2022-11-13,7008,4,2264.39,15.67,0.0,63.23,14.05,2159.82,11.64
2022-11-18,7007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-19,7008,1,1338.82,20.87,0.0,3.17,18.23,1280.12,16.45
2022-11-20,7008,4,153.7,30.76,77.67,3.09,17.11,13.06,12.01
2022-11-21,7008,8,116.05,16.9,0.0,5.15,28.26,54.31,11.42
2022-11-21,7007,2,59.43,16.54,5.53,3.9,18.15,3.86,11.46
2022-11-22,7008,5,8973.49,12.17,1.26,4.39,14.46,8931.33,9.88
2022-11-30,7007,3,152.56,21.35,3.39,2.72,19.48,92.39,13.21
2022-12-01,7007,4,300.31,20.28,18.9,2.71,24.52,212.82,21.09
2022-12-02,7007,4,335.26,20.34,2.84,3.1,17.78,268.66,22.56
2022-12-03,7007,6,221.01,21.83,10.92,6.86,15.72,141.7,23.99
2022-12-04,7007,6,221.68,21.3,12.62,45.74,14.12,111.7,16.19
2022-12-05,7007,2,1957.91,22.44,2.86,2.59,19.1,1905.54,5.39
2022-12-08,7007,11,172.87,20.41,67.68,2.61,15.37,54.54,12.25
2022-12-09,7007,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-10,7007,7,189.94,16.32,50.42,2.77,36.94,77.0,6.5
2022-12-11,7007,4,4404.18,17.08,4328.39,3.03,46.28,2.8,6.61
2022-12-23,7008,4,370.78,0.0,84.58,2.42,40.09,232.74,10.97
2022-12-23,7007,7,142.3,21.75,22.6,2.68,15.16,71.3,8.81
2022-12-24,7008,10,143.33,0.0,75.46,2.42,37.0,17.65,10.79
2022-12-24,7007,6,635.43,20.04,5.08,2.45,13.42,587.46,7.0
2022-12-25,7008,7,79.09,0.0,1.49,12.13,35.83,16.72,12.92
2022-12-26,7008,11,123.96,0.96,21.41,2.58,36.65,52.02,10.34
2022-12-27,7007,10,70.38,16.26,6.02,4.45,13.24,24.57,5.84
2022-12-27,7008,11,158.38,0.0,0.0,2.43,23.76,124.77,7.43
2022-12-28,7008,6,67.93,0.0,0.0,11.04,37.29,8.73,10.87
2022-12-28,7007,4,285.92,12.06,7.06,2.96,25.15,230.44,8.26
2022-12-29,7007,10,111.79,20.69,2.8,2.88,27.05,53.43,4.95
2022-12-29,7008,16,70.53,0.0,0.0,8.59,28.96,25.84,7.14
2022-12-30,7007,15,80.77,22.22,4.75,2.54,16.29,26.6,8.38
2022-12-30,7008,9,135.61,0.88,10.31,6.19,33.34,79.01,5.87
2022-12-31,7008,10,116.85,16.1,0.96,14.08,19.6,56.96,9.15
2022-12-31,7007,4,91.83,21.88,29.4,15.09,17.21,0.72,7.54
2023-01-01,7008,15,75.14,18.93,6.03,9.22,16.75,15.45,8.76
2023-01-02,7008,7,156.3,18.74,0.95,74.46,12.56,2.56,47.02
2023-01-03,7008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,7007,11,56.14,15.66,0.34,8.54,14.33,10.76,6.52
2023-01-10,7008,8,87.24,0.0,0.0,2.69,40.04,38.59,5.92
2023-01-11,7007,15,93.5,21.85,6.52,2.2,14.36,42.08,6.5
2023-01-11,7008,19,60.03,20.71,0.61,3.22,14.48,12.05,8.97
2023-01-12,7007,10,126.94,20.11,8.29,12.63,14.67,64.16,7.09
2023-01-12,7008,17,69.59,25.88,9.84,5.31,16.24,3.88,8.44
2023-01-13,7007,11,68.84,16.03,10.32,3.71,12.52,23.44,4.14
2023-01-13,7008,14,55.35,25.3,4.49,4.03,16.34,1.68,9.03
2023-01-14,7007,20,47.04,17.24,1.99,3.21,14.7,3.5,6.4
2023-01-14,7008,12,57.46,18.98,1.27,3.65,15.95,9.62,7.99
2023-01-15,7007,13,53.89,20.11,3.81,5.09,15.74,2.88,6.25
2023-01-15,7008,8,54.1,21.97,1.69,4.54,16.48,1.12,8.3
2023-01-16,7008,9,49.46,12.73,0.93,15.63,12.75,1.19,6.22
2023-01-16,7007,15,62.96,18.05,7.95,13.71,14.9,2.24,6.1
2023-01-17,7007,4,61.39,9.41,12.57,4.48,16.52,12.97,5.44
2023-01-17,7008,9,65.64,23.28,3.18,3.91,16.96,7.4,10.92
2023-01-18,7007,8,48.52,17.0,1.92,8.32,14.23,1.19,5.86
2023-01-18,7008,5,56.37,20.76,1.63,17.86,12.97,0.72,2.43
2023-01-19,7007,18,48.96,17.81,3.32,2.81,15.14,3.12,6.77
2023-01-19,7008,19,59.43,23.6,2.39,4.48,16.52,2.9,9.53
2023-01-20,7008,8,89.88,19.02,1.9,23.08,15.05,14.86,15.97
2023-01-20,7007,6,53.5,16.87,0.48,1.66,11.72,6.29,16.48
2023-01-21,7007,12,64.13,14.9,9.93,6.74,15.03,9.96,7.56
2023-01-21,7008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-22,7007,10,56.93,22.63,2.53,4.46,14.37,1.83,11.11
2023-01-22,7008,5,123.69,27.41,5.74,4.49,18.45,46.8,20.8
2023-01-23,7007,7,71.61,17.65,5.96,12.31,15.26,3.18,17.23
2023-01-23,7008,4,240.34,26.27,186.53,2.26,12.61,2.79,9.88
2023-01-24,7007,4,48.7,11.05,9.33,5.3,10.74,9.12,3.16
2023-01-25,7007,5,53.12,18.71,0.0,5.75,14.38,1.18,13.1
2023-01-25,7008,1,128.68,62.92,22.05,4.02,16.29,7.65,15.77
2023-01-26,7008,4,93.56,21.33,31.69,6.35,17.7,4.86,11.64
2023-01-26,7007,1,63.83,5.26,37.97,1.13,17.87,0.25,1.35
2023-01-27,7008,14,63.64,23.99,3.85,4.11,16.51,0.74,14.42
2023-01-27,7007,7,85.64,18.92,8.03,5.51,16.7,17.08,19.4
2023-01-28,7007,5,80.95,33.99,12.85,4.29,17.44,1.39,10.99
2023-01-28,7008,4,110.9,18.71,0.0,4.08,18.38,58.43,11.3
2023-01-29,7007,15,62.89,21.13,1.9,9.91,16.54,4.35,9.06
2023-01-29,7008,11,85.44,26.57,28.33,4.18,16.37,1.92,8.07
2023-01-30,7008,14,60.37,22.61,1.81,3.62,17.13,2.47,12.72
2023-01-30,7007,14,80.03,24.49,1.14,5.88,17.4,17.2,13.92
2023-01-31,7008,2,81.92,13.19,6.24,7.94,25.66,22.76,6.14
2023-01-31,7007,17,60.79,22.44,2.89,4.23,16.33,2.93,11.96
2023-02-01,7008,1,60.61,19.42,0.0,4.55,17.47,1.03,18.15
2023-02-01,7007,7,54.48,20.32,1.25,3.7,15.08,1.97,12.16
2023-02-02,7008,8,76.71,33.28,8.25,3.93,16.25,3.49,11.5
2023-02-02,7007,9,92.68,22.89,10.55,6.86,16.79,26.99,8.6
2023-02-03,7007,6,70.7,20.69,12.88,7.51,16.35,1.54,11.73
2023-02-03,7008,8,69.68,27.36,9.26,4.02,17.3,1.8,9.94
2023-02-04,7007,7,70.86,19.9,0.07,4.15,17.95,10.96,17.84
2023-02-04,7008,7,70.86,19.9,0.07,4.15,17.95,10.96,17.84
2023-02-05,7008,12,117.54,23.5,0.88,64.01,16.08,1.35,11.72
2023-02-05,7007,8,58.63,19.81,0.05,3.37,16.8,4.52,14.09
2023-02-06,7008,3,55.19,20.71,0.0,7.86,17.43,0.67,8.51
2023-02-06,7007,7,60.21,19.98,0.08,5.02,17.4,5.17,12.57
2023-02-07,7008,16,60.29,20.67,1.11,4.0,16.65,8.76,9.09
2023-02-07,7007,11,64.49,28.46,2.41,4.28,17.37,1.28,10.69
2023-02-08,7007,9,138.32,23.42,4.64,4.29,15.77,80.87,9.34
2023-02-08,7008,13,72.06,23.45,1.56,3.49,17.78,15.23,10.56
2023-02-09,7008,11,64.23,20.0,4.1,7.54,16.72,3.37,12.5
2023-02-09,7007,8,66.57,16.88,0.14,6.46,17.94,12.26,12.9
2023-02-10,7008,4,64.1,17.09,1.12,5.68,15.38,16.6,8.22
2023-02-10,7007,6,83.25,22.72,19.78,5.66,16.91,7.1,11.09
2023-02-12,7007,11,81.28,23.1,1.81,3.21,16.94,22.45,13.77
2023-02-13,7007,9,49.16,14.02,4.18,7.26,13.29,1.22,9.19
2023-02-14,7007,13,60.53,25.65,3.6,3.15,16.5,2.35,9.28
2023-02-15,7007,3,196.96,13.96,152.5,2.71,16.78,2.55,8.46
2023-02-16,7007,9,66.72,19.35,6.24,3.56,16.59,9.63,11.35
2023-02-17,7007,7,91.16,20.48,0.04,7.25,18.54,31.4,13.46
2023-02-18,7007,10,75.16,17.3,0.69,4.2,16.83,21.68,14.45
2023-02-19,7007,10,53.95,18.22,0.66,5.24,16.75,1.85,11.23
2023-02-20,7007,12,58.9,21.43,1.45,4.96,16.42,5.85,8.79
2023-02-21,7007,1,767.99,56.26,682.48,3.44,16.77,0.33,8.7
2023-02-21,7008,3,96.65,26.67,35.55,3.52,16.62,3.56,10.73
2023-02-22,7008,2,115.56,36.46,48.23,3.6,17.73,0.46,9.07
2023-02-23,7008,5,63.11,23.26,4.15,2.73,17.44,3.37,12.16
2023-02-24,7007,11,59.99,22.78,2.08,3.41,17.35,4.8,9.57
2023-02-24,7008,4,60.82,19.22,1.31,6.29,15.72,2.99,15.28
2023-02-25,7008,12,57.06,21.4,2.35,3.84,13.45,4.93,11.07
2023-02-25,7007,6,62.61,19.81,4.36,3.44,18.3,6.03,10.67
2023-02-26,7008,10,58.54,22.22,2.05,3.47,16.16,8.24,6.4
2023-03-01,7008,14,82.48,20.87,2.47,4.44,16.96,28.93,8.81
2023-03-02,7007,8,44.62,10.09,2.36,6.29,16.88,5.29,3.71
2023-03-03,7007,3,55.62,19.89,0.18,5.14,16.46,3.1,10.85
2023-03-04,7007,8,51.38,16.79,0.15,3.51,17.02,5.72,8.19
2023-03-04,7008,11,52.34,21.43,0.54,5.0,15.64,0.31,9.43
2023-03-05,7008,16,76.39,22.61,20.42,8.7,15.62,1.26,7.77
2023-03-08,7007,10,67.43,24.39,5.72,3.87,6.92,21.4,5.14
2023-03-09,7007,10,66.7,19.5,16.14,4.44,14.91,2.4,9.32
2023-03-09,7008,7,125.02,23.79,65.92,5.32,17.17,4.71,8.12
2023-03-10,7007,8,51.92,16.46,0.89,5.2,15.55,4.55,9.26
2023-03-10,7008,6,98.44,16.68,0.07,42.22,17.39,5.79,16.29
2023-03-11,7007,10,58.77,21.0,2.8,4.75,16.53,4.11,9.59
2023-03-11,7008,9,70.62,17.46,2.29,4.86,17.32,18.39,10.31
2023-03-12,7008,13,61.26,19.4,0.86,5.94,16.56,9.09,9.41
2023-03-12,7007,5,67.34,21.38,2.5,5.39,19.35,7.78,10.93
2023-03-13,7008,7,55.6,17.76,3.75,2.71,14.19,8.74,8.45
2023-03-13,7007,10,91.56,25.35,29.62,4.23,16.14,8.21,8.01
2023-03-14,7007,1,103.51,53.01,11.16,3.46,16.85,6.43,12.58
2023-03-14,7008,7,67.47,15.89,0.0,4.32,15.32,24.93,7.0
2023-03-15,7007,15,55.06,18.81,2.98,4.92,15.74,4.1,8.51
2023-03-15,7008,6,66.91,18.13,5.06,4.11,16.26,15.9,7.45
2023-03-16,7007,10,56.5,20.99,2.42,4.72,15.66,4.37,8.34
2023-03-16,7008,12,58.05,19.23,5.42,4.65,16.28,5.4,7.07
2023-03-17,7007,3,255.87,12.41,0.27,11.61,6.19,219.66,5.73
2023-03-17,7008,11,64.82,20.31,0.91,4.32,17.25,13.63,8.4
2023-03-18,7007,9,58.48,22.99,1.37,4.22,15.99,3.94,9.99
2023-03-18,7008,11,70.38,23.16,7.58,5.35,17.81,6.53,9.94
2023-03-19,7008,18,56.07,20.8,1.03,7.16,15.97,2.08,9.02
2023-03-19,7007,10,75.68,20.07,11.7,3.67,15.78,16.35,8.11
2023-03-20,7008,10,48.7,15.42,0.4,3.3,18.45,3.42,7.72
2023-03-20,7007,13,48.34,16.39,2.86,3.9,14.4,3.22,7.57
2023-03-21,7007,3,134.45,40.53,37.29,35.01,13.92,0.25,7.45
2023-03-21,7008,11,66.55,22.91,5.97,3.05,18.21,5.49,10.93
2023-03-22,7008,9,57.96,23.37,4.33,3.71,16.06,2.84,7.63
2023-03-22,7007,1,286.01,0.0,0.0,198.0,15.23,72.79,0.0
2023-03-23,7007,3,37.93,8.9,14.8,4.79,6.64,2.71,0.1
2023-03-23,7008,7,59.78,19.01,2.56,5.23,16.52,4.24,12.22
2023-03-24,7008,8,66.12,18.34,0.14,7.14,16.11,15.62,8.78
2023-03-24,7007,1,98.65,41.99,43.11,2.33,8.84,0.53,1.85
2023-03-25,7007,3,52.1,35.09,9.15,2.4,2.38,2.1,0.98
2023-03-25,7008,3,64.47,19.63,8.88,3.54,13.27,7.26,11.89
2023-03-26,7008,16,54.25,19.87,1.12,4.26,15.86,0.55,12.59
2023-03-26,7007,15,53.86,23.08,15.25,2.85,7.2,1.12,4.36
2023-03-27,7007,6,56.52,22.27,15.52,2.41,10.32,0.21,5.78
2023-03-27,7008,7,49.43,22.19,0.82,5.58,12.19,2.62,6.02
2023-03-28,7008,7,76.64,23.23,3.22,3.39,16.65,14.51,15.64
2023-03-28,7007,6,46.15,18.08,13.56,2.79,9.57,0.38,1.78
2023-03-29,7008,13,47.59,17.21,0.76,3.4,13.82,3.55,8.84
2023-03-29,7007,7,41.85,22.57,2.71,3.1,9.98,0.26,3.23
2023-03-30,7007,7,167.32,136.47,3.07,7.83,13.57,0.32,6.05
2023-03-30,7008,3,74.13,31.33,3.15,6.31,18.37,3.63,11.35
2023-03-31,7007,4,41.13,24.5,1.4,2.48,7.08,0.04,5.61
2023-03-31,7008,6,58.31,21.72,1.29,10.84,16.06,1.71,6.7
